id_usuario;variante;convirtio;dispositivo;pais;duracion_sesion;timestamp
exp_user_130;control;0;desktop;Argentina;33.82;13/04/2025
exp_user_131;tratamiento;1;mobile;Argentina;28.87;24/01/2025
exp_user_132;tratamiento;0;mobile;Argentina;117.1;24/01/2025
exp_user_133;control;0;desktop;Mexico;56.81;24/03/2025
exp_user_134;tratamiento;0;mobile;Argentina;170.3;29/03/2025
exp_user_135;tratamiento;0;mobile;Colombia;120.5;9/06/2025
exp_user_136;control;0;desktop;Mexico;129.49;23/04/2025
exp_user_137;control;0;desktop;Colombia;284.97;17/01/2025
exp_user_138;control;0;mobile;Mexico;74.99;13/05/2025
exp_user_139;tratamiento;0;mobile;Colombia;69.53;1/04/2025
exp_user_140;tratamiento;1;desktop;Argentina;239.05;14/06/2025
exp_user_141;tratamiento;0;mobile;Colombia;22.98;29/01/2025
exp_user_142;control;1;desktop;Argentina;88.96;2/01/2025
exp_user_143;control;0;desktop;Colombia;236.71;4/01/2025
exp_user_144;control;0;desktop;Argentina;199.62;23/02/2025
exp_user_145;tratamiento;0;mobile;Colombia;268.7;20/03/2025
exp_user_146;control;0;mobile;Argentina;142.87;18/01/2025
exp_user_147;control;0;desktop;Mexico;29.04;21/02/2025
exp_user_148;tratamiento;1;mobile;Argentina;244.88;8/01/2025
exp_user_149;control;0;mobile;Colombia;130.79;28/03/2025
exp_user_150;control;0;mobile;Mexico;28.67;28/06/2025
exp_user_151;control;0;mobile;Mexico;51.56;8/04/2025
exp_user_152;control;0;desktop;Argentina;235.16;24/05/2025
exp_user_153;control;0;mobile;Argentina;209.07;3/04/2025
exp_user_154;control;0;mobile;Mexico;298.36;22/02/2025
exp_user_155;control;0;desktop;Argentina;192.57;27/04/2025
exp_user_156;tratamiento;0;desktop;Colombia;195.58;25/03/2025
exp_user_157;control;0;desktop;Argentina;175;6/06/2025
exp_user_158;tratamiento;0;desktop;Mexico;140.19;1/05/2025
exp_user_159;tratamiento;0;mobile;Argentina;152.11;6/01/2025
exp_user_160;control;0;desktop;Colombia;150.68;14/01/2025
exp_user_161;control;0;desktop;Argentina;127.75;7/03/2025
exp_user_162;control;0;mobile;Colombia;136.68;1/03/2025
exp_user_163;control;0;desktop;Argentina;282.84;17/02/2025
exp_user_164;tratamiento;0;mobile;Colombia;50.34;23/01/2025
exp_user_165;tratamiento;0;mobile;Colombia;41.75;18/05/2025
exp_user_166;control;1;desktop;Argentina;25.73;9/03/2025
exp_user_167;tratamiento;0;desktop;Argentina;84.23;22/02/2025
exp_user_168;tratamiento;1;desktop;Argentina;21.18;20/04/2025
exp_user_169;tratamiento;1;desktop;Argentina;276.07;12/06/2025
exp_user_170;tratamiento;0;mobile;Mexico;134.07;18/01/2025
exp_user_171;control;1;mobile;Argentina;257.34;12/03/2025
exp_user_172;control;0;desktop;Argentina;202.36;9/03/2025
exp_user_173;control;0;desktop;Colombia;85.26;9/06/2025
exp_user_174;control;0;desktop;Colombia;209.36;29/01/2025
exp_user_175;tratamiento;0;desktop;Mexico;269.67;13/05/2025
exp_user_176;tratamiento;0;mobile;Mexico;112.26;20/05/2025
exp_user_177;control;0;mobile;Argentina;262.09;3/02/2025
exp_user_178;tratamiento;0;mobile;Mexico;265.64;26/05/2025
exp_user_179;control;1;mobile;Colombia;159.19;8/05/2025
exp_user_180;tratamiento;1;mobile;Colombia;99.69;28/04/2025
exp_user_181;tratamiento;0;desktop;Colombia;93.2;12/04/2025
exp_user_182;tratamiento;0;mobile;Argentina;24.24;14/02/2025
exp_user_183;tratamiento;0;mobile;Colombia;70.99;30/01/2025
exp_user_184;control;0;mobile;Colombia;135.06;12/06/2025
exp_user_185;tratamiento;1;desktop;Mexico;174.33;12/04/2025
exp_user_186;control;0;desktop;Colombia;279.66;11/01/2025
exp_user_187;control;0;mobile;Argentina;192.37;22/04/2025
exp_user_188;control;0;desktop;Mexico;176.74;19/04/2025
exp_user_189;control;0;mobile;Argentina;70.9;8/05/2025
exp_user_190;tratamiento;0;mobile;Mexico;135.68;2/01/2025
exp_user_191;tratamiento;0;mobile;Argentina;66.38;13/03/2025
exp_user_192;control;0;mobile;Colombia;247.21;24/05/2025
exp_user_193;tratamiento;0;mobile;Argentina;31.71;11/06/2025
exp_user_194;control;0;desktop;Mexico;30.43;1/01/2025
exp_user_195;tratamiento;0;desktop;Mexico;144.37;26/04/2025
exp_user_196;tratamiento;0;desktop;Mexico;175.06;4/01/2025
exp_user_197;control;0;desktop;Colombia;71.01;13/05/2025
exp_user_198;tratamiento;0;desktop;Colombia;92.3;12/02/2025
exp_user_199;control;1;desktop;Mexico;80.29;10/03/2025
exp_user_200;tratamiento;0;mobile;Colombia;237.85;23/02/2025
exp_user_201;control;0;desktop;Colombia;100.48;27/04/2025
exp_user_202;tratamiento;1;desktop;Colombia;42.76;4/01/2025
exp_user_203;control;0;desktop;Mexico;197.66;30/06/2025
exp_user_204;control;0;desktop;Argentina;272.42;1/06/2025
exp_user_205;tratamiento;0;desktop;Argentina;240.98;15/01/2025
exp_user_206;control;1;mobile;Argentina;142.5;2/06/2025
exp_user_207;control;0;mobile;Argentina;32.69;26/04/2025
exp_user_208;tratamiento;0;mobile;Mexico;285.03;31/03/2025
exp_user_209;control;0;mobile;Colombia;34.73;17/01/2025
exp_user_210;tratamiento;0;mobile;Colombia;217.15;14/06/2025
exp_user_211;control;1;desktop;Mexico;159.37;18/04/2025
exp_user_212;tratamiento;0;desktop;Argentina;281.62;25/05/2025
exp_user_213;tratamiento;0;desktop;Mexico;61.21;24/02/2025
exp_user_214;control;0;desktop;Argentina;55.81;13/02/2025
exp_user_215;control;0;desktop;Mexico;293.14;5/03/2025
exp_user_216;control;0;mobile;Argentina;63.55;24/06/2025
exp_user_217;control;0;desktop;Colombia;150.35;17/05/2025
exp_user_218;control;0;mobile;Colombia;206.56;7/06/2025
exp_user_219;control;0;mobile;Mexico;260.73;26/06/2025
exp_user_220;control;0;desktop;Argentina;148.95;1/02/2025
exp_user_221;tratamiento;0;desktop;Colombia;252.55;15/01/2025
exp_user_222;tratamiento;0;desktop;Colombia;41.17;2/06/2025
exp_user_223;tratamiento;0;desktop;Argentina;190.64;29/03/2025
exp_user_224;tratamiento;1;mobile;Colombia;181.96;9/01/2025
exp_user_225;control;0;desktop;Mexico;45.81;6/03/2025
exp_user_226;tratamiento;1;desktop;Colombia;36.48;25/05/2025
exp_user_227;control;1;mobile;Mexico;76.96;13/02/2025
exp_user_228;tratamiento;0;desktop;Colombia;74.18;11/06/2025
exp_user_229;control;0;mobile;Argentina;164.15;24/01/2025
exp_user_230;tratamiento;0;desktop;Argentina;295.28;11/03/2025
exp_user_231;control;0;desktop;Argentina;40.13;6/06/2025
exp_user_232;tratamiento;0;mobile;Argentina;277.2;4/06/2025
exp_user_233;tratamiento;0;desktop;Mexico;46.47;2/03/2025
exp_user_234;tratamiento;0;mobile;Argentina;124.48;24/04/2025
exp_user_235;control;1;desktop;Argentina;208.53;18/04/2025
exp_user_236;control;0;mobile;Mexico;71.05;22/04/2025
exp_user_237;control;0;desktop;Mexico;277.54;18/05/2025
exp_user_238;tratamiento;0;desktop;Mexico;291.83;9/01/2025
exp_user_239;control;0;mobile;Colombia;248.19;26/03/2025
exp_user_240;control;1;desktop;Mexico;273.96;8/01/2025
exp_user_241;control;0;desktop;Mexico;241.53;6/01/2025
exp_user_242;tratamiento;1;desktop;Mexico;137.46;29/01/2025
exp_user_243;control;0;mobile;Colombia;100.32;11/02/2025
exp_user_244;tratamiento;0;mobile;Colombia;121.49;22/04/2025
exp_user_245;tratamiento;0;mobile;Mexico;257.6;9/06/2025
exp_user_246;control;0;mobile;Argentina;124.23;1/05/2025
exp_user_247;control;0;desktop;Mexico;126.95;29/06/2025
exp_user_248;tratamiento;0;mobile;Colombia;169;27/01/2025
exp_user_249;control;0;mobile;Argentina;181.24;31/05/2025
exp_user_250;control;1;desktop;Colombia;123.89;10/06/2025
exp_user_251;tratamiento;0;mobile;Argentina;159.19;11/01/2025
exp_user_252;control;1;desktop;Colombia;202.98;12/01/2025
exp_user_253;control;0;desktop;Argentina;160.28;15/06/2025
exp_user_254;control;0;mobile;Colombia;291.64;31/05/2025
exp_user_255;tratamiento;1;desktop;Colombia;20.62;7/01/2025
exp_user_256;tratamiento;0;mobile;Mexico;264.11;10/06/2025
exp_user_257;tratamiento;1;mobile;Mexico;234.27;23/05/2025
exp_user_258;control;1;desktop;Colombia;106.14;6/04/2025
exp_user_259;tratamiento;0;desktop;Colombia;72.67;13/05/2025
exp_user_260;control;0;mobile;Argentina;165.15;15/02/2025
exp_user_261;tratamiento;0;desktop;Argentina;191.89;26/04/2025
exp_user_262;control;0;mobile;Mexico;150.7;28/01/2025
exp_user_263;tratamiento;1;mobile;Argentina;45.87;5/04/2025
exp_user_264;tratamiento;1;mobile;Argentina;71.58;6/03/2025
exp_user_265;tratamiento;0;desktop;Argentina;23.63;17/02/2025
exp_user_266;tratamiento;0;mobile;Argentina;160.62;27/03/2025
exp_user_267;control;0;desktop;Mexico;112.39;9/03/2025
exp_user_268;control;0;desktop;Argentina;259.28;22/03/2025
exp_user_269;tratamiento;0;desktop;Argentina;123.44;13/05/2025
exp_user_270;control;0;mobile;Argentina;239.07;13/03/2025
exp_user_271;tratamiento;0;mobile;Argentina;281.77;11/06/2025
exp_user_272;tratamiento;1;desktop;Mexico;243.55;20/01/2025
exp_user_273;tratamiento;0;mobile;Colombia;298.35;7/06/2025
exp_user_274;control;0;desktop;Mexico;136.16;29/05/2025
exp_user_275;tratamiento;1;mobile;Colombia;82.46;1/01/2025
exp_user_276;tratamiento;1;desktop;Colombia;212.67;31/01/2025
exp_user_277;tratamiento;0;desktop;Colombia;138.89;10/03/2025
exp_user_278;tratamiento;0;mobile;Mexico;176.6;7/06/2025
exp_user_279;control;0;mobile;Mexico;180.61;18/05/2025
exp_user_280;tratamiento;0;desktop;Argentina;266.67;7/02/2025
exp_user_281;control;0;desktop;Colombia;54.86;3/03/2025
exp_user_282;tratamiento;0;mobile;Mexico;98.86;30/04/2025
exp_user_283;control;1;mobile;Argentina;290.4;17/02/2025
exp_user_284;tratamiento;0;mobile;Colombia;131.04;17/01/2025
exp_user_285;control;0;desktop;Colombia;248.24;23/02/2025
exp_user_286;control;0;mobile;Argentina;88.37;19/06/2025
exp_user_287;tratamiento;0;desktop;Argentina;58.95;30/05/2025
exp_user_288;tratamiento;0;desktop;Colombia;264.84;23/03/2025
exp_user_289;control;0;mobile;Mexico;121.36;11/02/2025
exp_user_290;control;0;mobile;Argentina;129.89;27/02/2025
exp_user_291;tratamiento;1;mobile;Mexico;44.25;12/04/2025
exp_user_292;tratamiento;0;mobile;Argentina;113.26;22/06/2025
exp_user_293;tratamiento;1;desktop;Mexico;224.57;20/04/2025
exp_user_294;tratamiento;1;desktop;Colombia;199.45;14/04/2025
exp_user_295;control;0;desktop;Argentina;237.71;27/01/2025
exp_user_296;control;1;desktop;Argentina;254.44;29/05/2025
exp_user_297;tratamiento;0;mobile;Argentina;259.09;3/05/2025
exp_user_298;tratamiento;0;desktop;Mexico;133.12;12/03/2025
exp_user_299;control;0;desktop;Mexico;237.75;1/06/2025
exp_user_300;tratamiento;0;mobile;Colombia;269.27;6/04/2025
exp_user_301;tratamiento;0;mobile;Mexico;160.53;6/03/2025
exp_user_302;control;0;mobile;Argentina;87.41;29/06/2025
exp_user_303;tratamiento;0;desktop;Colombia;289.4;2/03/2025
exp_user_304;tratamiento;0;desktop;Argentina;68.42;4/05/2025
exp_user_305;control;0;desktop;Colombia;156.24;5/01/2025
exp_user_306;tratamiento;0;mobile;Mexico;67.78;10/05/2025
exp_user_307;tratamiento;0;mobile;Colombia;248.33;21/01/2025
exp_user_308;tratamiento;0;desktop;Mexico;164.36;24/04/2025
exp_user_309;control;0;mobile;Mexico;37.49;10/02/2025
exp_user_310;control;1;mobile;Colombia;221.09;11/01/2025
exp_user_311;tratamiento;0;desktop;Mexico;181.26;2/01/2025
exp_user_312;control;0;desktop;Argentina;211.84;19/03/2025
exp_user_313;tratamiento;1;mobile;Colombia;87.5;21/06/2025
exp_user_314;control;0;desktop;Mexico;247.78;1/05/2025
exp_user_315;tratamiento;0;desktop;Mexico;298.62;1/01/2025
exp_user_316;tratamiento;0;mobile;Colombia;103.43;7/02/2025
exp_user_317;tratamiento;0;mobile;Mexico;90.24;18/03/2025
exp_user_318;tratamiento;0;desktop;Argentina;149.35;4/06/2025
exp_user_319;tratamiento;0;desktop;Mexico;212.14;20/03/2025
exp_user_320;control;0;mobile;Mexico;125.95;28/03/2025
exp_user_321;tratamiento;1;mobile;Mexico;28.49;4/03/2025
exp_user_322;control;0;mobile;Colombia;165.6;9/05/2025
exp_user_323;control;0;mobile;Argentina;27.32;1/05/2025
exp_user_324;control;0;mobile;Mexico;38.74;12/06/2025
exp_user_325;control;0;mobile;Colombia;46.74;30/05/2025
exp_user_326;tratamiento;0;mobile;Colombia;75.99;31/03/2025
exp_user_327;control;0;desktop;Argentina;118.98;3/02/2025
exp_user_328;tratamiento;0;desktop;Mexico;104.9;10/05/2025
exp_user_329;tratamiento;0;mobile;Colombia;221.48;28/01/2025
exp_user_330;control;1;desktop;Argentina;57.07;1/01/2025
exp_user_331;tratamiento;0;mobile;Colombia;101.48;21/03/2025
exp_user_332;control;0;desktop;Mexico;121.88;9/05/2025
exp_user_333;tratamiento;0;mobile;Colombia;81.18;5/01/2025
exp_user_334;control;0;mobile;Mexico;181.12;31/01/2025
exp_user_335;control;1;desktop;Mexico;162.56;4/04/2025
exp_user_336;control;1;mobile;Mexico;107.04;17/04/2025
exp_user_337;control;0;mobile;Mexico;167.23;21/02/2025
exp_user_338;tratamiento;0;desktop;Colombia;175.85;29/03/2025
exp_user_339;control;0;desktop;Mexico;25.3;20/03/2025
exp_user_340;control;0;desktop;Argentina;257.27;16/05/2025
exp_user_341;tratamiento;0;desktop;Argentina;281.69;16/04/2025
exp_user_342;tratamiento;1;desktop;Mexico;125.81;16/02/2025
exp_user_343;control;0;mobile;Mexico;149.83;6/06/2025
exp_user_344;tratamiento;1;mobile;Colombia;236.71;26/01/2025
exp_user_345;control;0;mobile;Mexico;160.73;6/04/2025
exp_user_346;tratamiento;0;desktop;Argentina;177.97;20/06/2025
exp_user_347;control;0;mobile;Colombia;158;21/02/2025
exp_user_348;control;1;desktop;Argentina;239.7;23/01/2025
exp_user_349;tratamiento;0;mobile;Argentina;33.84;8/03/2025
exp_user_350;tratamiento;0;mobile;Argentina;165.69;28/06/2025
exp_user_351;tratamiento;0;mobile;Colombia;184.48;14/05/2025
exp_user_352;tratamiento;1;mobile;Argentina;50.38;31/03/2025
exp_user_353;tratamiento;0;desktop;Mexico;190.54;19/03/2025
exp_user_354;tratamiento;1;desktop;Argentina;186.28;29/04/2025
exp_user_355;tratamiento;0;mobile;Colombia;292.9;8/06/2025
exp_user_356;tratamiento;0;mobile;Mexico;209.67;20/01/2025
exp_user_357;control;0;mobile;Argentina;205.42;20/04/2025
exp_user_358;control;0;mobile;Argentina;35.96;22/01/2025
exp_user_359;tratamiento;1;desktop;Argentina;21.14;8/04/2025
exp_user_360;control;0;mobile;Colombia;123.66;23/03/2025
exp_user_361;tratamiento;1;desktop;Mexico;166.24;17/01/2025
exp_user_362;control;0;desktop;Mexico;109.85;7/03/2025
exp_user_363;control;0;mobile;Colombia;134.95;8/02/2025
exp_user_364;control;0;mobile;Argentina;148.97;25/05/2025
exp_user_365;control;0;desktop;Mexico;232.26;30/06/2025
exp_user_366;control;0;mobile;Colombia;208.68;20/04/2025
exp_user_367;control;0;mobile;Argentina;291.5;8/06/2025
exp_user_368;tratamiento;1;desktop;Argentina;147.31;19/06/2025
exp_user_369;tratamiento;0;desktop;Colombia;245.24;11/01/2025
exp_user_370;control;0;desktop;Colombia;264.8;20/02/2025
exp_user_371;tratamiento;1;desktop;Mexico;162.24;6/05/2025
exp_user_372;control;0;desktop;Argentina;271.62;14/05/2025
exp_user_373;control;1;desktop;Argentina;282.12;23/01/2025
exp_user_374;control;0;mobile;Argentina;28.13;23/05/2025
exp_user_375;control;0;mobile;Argentina;176.89;13/02/2025
exp_user_376;tratamiento;0;desktop;Argentina;128.54;21/03/2025
exp_user_377;tratamiento;0;desktop;Mexico;141.65;6/06/2025
exp_user_378;control;0;desktop;Colombia;47.69;18/06/2025
exp_user_379;tratamiento;0;desktop;Mexico;96.54;31/03/2025
exp_user_380;control;0;mobile;Colombia;23.81;28/06/2025
exp_user_381;tratamiento;0;mobile;Mexico;38.65;4/05/2025
exp_user_382;control;0;desktop;Colombia;190.14;31/05/2025
exp_user_383;tratamiento;0;desktop;Mexico;244.73;22/01/2025
exp_user_384;tratamiento;0;desktop;Argentina;37.25;17/01/2025
exp_user_385;control;1;mobile;Mexico;116.59;14/03/2025
exp_user_386;control;0;mobile;Mexico;272.59;8/01/2025
exp_user_387;tratamiento;1;desktop;Argentina;22.88;1/03/2025
exp_user_388;control;0;desktop;Argentina;38.41;6/04/2025
exp_user_389;control;0;desktop;Mexico;194.81;28/02/2025
exp_user_390;control;0;mobile;Argentina;217.59;26/05/2025
exp_user_391;control;0;desktop;Mexico;185.78;23/04/2025
exp_user_392;tratamiento;1;mobile;Argentina;215.61;27/04/2025
exp_user_393;control;0;mobile;Argentina;190.8;25/04/2025
exp_user_394;tratamiento;0;desktop;Argentina;21.89;14/06/2025
exp_user_395;control;0;mobile;Argentina;290.65;2/06/2025
exp_user_396;control;0;desktop;Mexico;165.61;13/04/2025
exp_user_397;control;1;mobile;Argentina;170.67;16/06/2025
exp_user_398;tratamiento;1;mobile;Colombia;183.67;18/04/2025
exp_user_399;tratamiento;0;mobile;Mexico;179.2;6/06/2025
exp_user_400;control;0;mobile;Argentina;124.57;24/01/2025
exp_user_401;control;1;desktop;Argentina;231.45;27/03/2025
exp_user_402;tratamiento;0;mobile;Mexico;127.42;4/01/2025
exp_user_403;control;0;desktop;Colombia;128.29;14/04/2025
exp_user_404;tratamiento;0;desktop;Colombia;28.48;19/03/2025
exp_user_405;control;1;desktop;Mexico;294.72;2/01/2025
exp_user_406;control;0;desktop;Argentina;106.61;28/01/2025
exp_user_407;control;0;mobile;Colombia;31.67;13/03/2025
exp_user_408;tratamiento;0;mobile;Colombia;42.79;25/01/2025
exp_user_409;control;1;desktop;Colombia;241.46;21/03/2025
exp_user_410;control;1;desktop;Mexico;144.41;21/06/2025
exp_user_411;tratamiento;0;mobile;Argentina;146.02;15/05/2025
exp_user_412;control;0;mobile;Colombia;110.1;14/05/2025
exp_user_413;tratamiento;0;mobile;Colombia;278.05;5/03/2025
exp_user_414;control;0;mobile;Colombia;253.89;18/03/2025
exp_user_415;control;0;desktop;Mexico;100.52;20/04/2025
exp_user_416;control;0;desktop;Colombia;173.93;26/01/2025
exp_user_417;tratamiento;1;mobile;Colombia;36.79;9/01/2025
exp_user_418;tratamiento;0;mobile;Argentina;26.76;26/03/2025
exp_user_419;control;0;mobile;Colombia;245.97;16/06/2025
exp_user_420;control;1;mobile;Mexico;263.3;16/06/2025
exp_user_421;tratamiento;0;desktop;Colombia;297.71;2/05/2025
